reading_id,asset_id,tail_number,asset_type,platform,timestamp,metric_name,value,unit,component
RD00001,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-08T10:12:06Z,vibration_mm_s,3.44,mm/s,rotor
RD00002,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-08T10:12:06Z,engine_temp_c,124.78,celsius,engine
RD00003,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-08T10:12:06Z,oil_quality_index,78.92,index,hydraulics
RD00004,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-08T10:12:06Z,hours_since_last_service,15.07,hours,airframe
RD00005,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-09T19:29:57Z,vibration_mm_s,1.22,mm/s,rotor
RD00006,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-09T19:29:57Z,engine_temp_c,147.79,celsius,engine
RD00007,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-09T19:29:57Z,oil_quality_index,65.88,index,hydraulics
RD00008,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-09T19:29:57Z,hours_since_last_service,43.8,hours,airframe
RD00009,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-10T04:12:17Z,vibration_mm_s,2.64,mm/s,rotor
RD00010,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-10T04:12:17Z,engine_temp_c,149.97,celsius,engine
RD00011,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-10T04:12:17Z,oil_quality_index,72.27,index,hydraulics
RD00012,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-10T04:12:17Z,hours_since_last_service,110.18,hours,airframe
RD00013,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-12T17:25:25Z,vibration_mm_s,3.17,mm/s,rotor
RD00014,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-12T17:25:25Z,engine_temp_c,120.36,celsius,engine
RD00015,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-12T17:25:25Z,oil_quality_index,91.59,index,hydraulics
RD00016,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-12T17:25:25Z,hours_since_last_service,128.68,hours,airframe
RD00017,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-12T23:41:07Z,vibration_mm_s,1.62,mm/s,rotor
RD00018,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-12T23:41:07Z,engine_temp_c,128.55,celsius,engine
RD00019,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-12T23:41:07Z,oil_quality_index,96.59,index,hydraulics
RD00020,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-12T23:41:07Z,hours_since_last_service,67.22,hours,airframe
RD00021,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-13T09:43:37Z,vibration_mm_s,0.81,mm/s,rotor
RD00022,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-13T09:43:37Z,engine_temp_c,125.32,celsius,engine
RD00023,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-13T09:43:37Z,oil_quality_index,92.97,index,hydraulics
RD00024,AH01,TAIL-AH01,helicopter,AH-64 Apache,2025-07-13T09:43:37Z,hours_since_last_service,112.63,hours,airframe
RD00025,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-10T21:35:37Z,vibration_mm_s,3.24,mm/s,rotor
RD00026,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-10T21:35:37Z,engine_temp_c,154.02,celsius,engine
RD00027,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-10T21:35:37Z,oil_quality_index,93.44,index,hydraulics
RD00028,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-10T21:35:37Z,hours_since_last_service,108.15,hours,airframe
RD00029,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-12T00:05:10Z,vibration_mm_s,2.83,mm/s,rotor
RD00030,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-12T00:05:10Z,engine_temp_c,122.52,celsius,engine
RD00031,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-12T00:05:10Z,oil_quality_index,72.52,index,hydraulics
RD00032,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-12T00:05:10Z,hours_since_last_service,59.2,hours,airframe
RD00033,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-12T02:44:34Z,vibration_mm_s,0.76,mm/s,rotor
RD00034,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-12T02:44:34Z,engine_temp_c,132.8,celsius,engine
RD00035,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-12T02:44:34Z,oil_quality_index,68.33,index,hydraulics
RD00036,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-12T02:44:34Z,hours_since_last_service,57.26,hours,airframe
RD00037,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-13T08:35:41Z,vibration_mm_s,2.6,mm/s,rotor
RD00038,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-13T08:35:41Z,engine_temp_c,140.07,celsius,engine
RD00039,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-13T08:35:41Z,oil_quality_index,77.22,index,hydraulics
RD00040,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-13T08:35:41Z,hours_since_last_service,45.62,hours,airframe
RD00041,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-13T21:35:51Z,vibration_mm_s,1.38,mm/s,rotor
RD00042,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-13T21:35:51Z,engine_temp_c,171.52,celsius,engine
RD00043,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-13T21:35:51Z,oil_quality_index,86.39,index,hydraulics
RD00044,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-13T21:35:51Z,hours_since_last_service,113.55,hours,airframe
RD00045,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-15T01:29:00Z,vibration_mm_s,1.06,mm/s,rotor
RD00046,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-15T01:29:00Z,engine_temp_c,160.1,celsius,engine
RD00047,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-15T01:29:00Z,oil_quality_index,70.39,index,hydraulics
RD00048,AH02,TAIL-AH02,helicopter,AH-64 Apache,2025-07-15T01:29:00Z,hours_since_last_service,74.51,hours,airframe
RD00049,AH03,TAIL-AH03,helicopter,AH-64 Apache,2025-07-12T03:34:03Z,vibration_mm_s,1.26,mm/s,rotor
RD00050,AH03,TAIL-AH03,helicopter,AH-64 Apache,2025-07-12T03:34:03Z,engine_temp_c,121.77,celsius,engine
RD00051,AH03,TAIL-AH03,helicopter,AH-64 Apache,2025-07-12T03:34:03Z,oil_quality_index,75.41,index,hydraulics
